Brand_names,Chinese_names,English_names,Whole_info,Years,Score_number,Reply_number
布鲁诺·法兹拉瑞,None,· Bruno Fazzolari Cadavre Exquis,"气味：血橙,樟脑,依兰,金盏花,干果,八角,黑巧克力,柏树,安息香脂,香草,麝猫香",2016,None,0
布鲁诺·法兹拉瑞,None,·  Bruno Fazzolari Fontevraud,"气味：香柠檬,番石榴,梨,玫瑰,橡木苔,红没药,广藿香,琥珀",2018,None,0
布鲁诺·法兹拉瑞,None,·  Bruno Fazzolari Unsettled,"气味：香柠檬,茶叶,快乐鼠尾草,菠萝,檀香木,劳丹脂,香草,海水",2017,None,0
伊露米琳,白色栀子花瓣,Illuminum White Gardenia Petals,"前调：百合,香柠檬,醋栗叶中调：茉莉,铃兰,栀子花,依兰后调：琥珀,木质香",2011, 7.1 , 66 
伊露米琳,None,Illuminum Wild Tobacco,"前调：公丁香,快乐鼠尾草中调：雪松,烟草后调：劳丹脂,海狸香,零陵香豆",2011, 6.5 , 11 
伊露米琳,None,Illuminum Tribal Black Tea,"前调：香柠檬,小豆蔻,柠檬中调：茶叶,花香,茉莉后调：琥珀,木质香,肉豆蔻,雪松",2011,None,0
伊露米琳,None,Illuminum Moroccan Tuberose,"前调：老鹳草,玫瑰中调：依兰,玫瑰后调：晚香玉,雪松,麝香",None,None,0
伊露米琳,None,Illuminum Ginger Pear,"前调：柑橘,梨,香柠檬中调：茶叶,花香,生姜,大黄,小茴香后调：麝香,檀香木",2011,None,0
伊露米琳,None,Illuminum Piper Leather,"前调：芫荽,胡椒中调：皮革,茉莉,胡萝卜籽后调：乳香,麝猫香,麝香",2011,None,0
伊露米琳,None,Illuminum Rose Oud,"前调：茉莉,铃兰,罗勒,芫荽中调：玫瑰,老鹳草后调：海狸香,沉香(乌木),广藿香",2011,None,0
伊露米琳,None,Illuminum Taif Rose,"前调：老鹳草,玫瑰中调：塔伊夫玫瑰,玫瑰后调：麝香,檀香木",None,None,0
伊露米琳,None,Illuminum Scarlet Oud,"前调：胡椒,蜂蜜中调：沉香(乌木),香根草,树脂后调：麝猫香,海狸香",2011,None,0
伊露米琳,None,Illuminum Wild Berry Blossom,"前调：醋栗叶,仙客来中调：牡丹,野花,树莓花,木兰后调：雪松,麝香",2011,None,0
伊露米琳,None,Illuminum Black OUD,"前调：广藿香,柑橘,公丁香中调：沉香(乌木)后调：麝猫香",None,None,0
伊露米琳,None,Illuminum Saffron Amber,"前调：香柠檬,桃子,芫荽中调：依兰,藏红花,茉莉后调：琥珀,麝香",2011,None,0
伊露米琳,None,Illuminum White on White,"前调：肉桂,公丁香,小豆蔻中调：广藿香后调：安息香,香豆素,橡木苔",None,None,0
伊露米琳,None,Illuminum Hindi OUD,"前调：桂花,鸡蛋花,栀子花中调：茉莉,沉香(乌木),黑檀红木后调：麝香",None,None,0
伊露米琳,None,Illuminum Skin Petals,"前调：苹果花,森林水果,黑加仑中调：铃兰,紫罗兰,茉莉后调：琥珀,麝香",2011,None,0
伊露米琳,None,Illuminum White Saffron,"前调：老鹳草,茉莉中调：藏红花,玫瑰,香根草后调：愈创木,檀香木,麝香",None,None,0
伊露米琳,None,Illuminum Cashmere Musk,"前调：椰子,绿叶,依兰,仙客来中调：风信子,雪松,檀香木后调：开司米木,麝香,木质香",2011,None,0
伊露米琳,None,Illuminum Arabian Amber,"前调：香柠檬中调：雪松,檀香木,依兰,肉豆蔻,胡椒后调：乳香,广藿香,红没药",2011,None,0
伊露米琳,None,Illuminum Tahitian Yuzu,"前调：黑加仑,菠萝,香柠檬,橙子中调：茉莉,紫罗兰,日本柚子,百香果,桃子后调：麝香",2011,None,0
伊露米琳,None,Illuminum Bergamot Blossom,"前调：香柠檬,血橙,柠檬,甜椒中调：橙花油,百里香,胡椒后调：麝香,橡木苔,劳丹脂",2011,None,0
伊露米琳,None,Illuminum White Datura,"前调：柑橘,柠檬,橙子,香柠檬,小豆蔻中调：茉莉,曼陀罗,粉红胡椒后调：香草,广藿香,麝香",2011,None,0
伊露米琳,None,Illuminum Bergamot Blossom,"前调：香柠檬,血橙,柠檬,甜椒中调：橙花油,百里香,胡椒后调：麝香,橡木苔,劳丹脂",2011,None,0
伊露米琳,None,Illuminum Orange Blossom,"前调：橙花油,苦橙叶中调：百里香,沉香(乌木)后调：没药,乳香",None,None,0
伊露米琳,None,Illuminum White Musk,"前调：玫瑰,藏红花中调：檀香木,公丁香,甜椒后调：广藿香,麝香",None,None,0
伊露米琳,None,Illuminum White Lotus,"前调：铃兰,莲花中调：晚香玉,茉莉后调：莲花,广藿香,麝香",None,None,0
伊露米琳,None,Illuminum Black Gardenia,"前调：黑加仑叶,黑加仑,芸香中调：栀子花,茉莉,依兰后调：麝香",None,None,0
伊露米琳,None,Illuminum Yuki,"前调：桂花中调：茶叶,蜜橘后调：香根草",2016,None,0
伊露米琳,None,Illuminum Rosewood,"前调：玫瑰,老鹳草中调：沉香(乌木)后调：麝香,黑檀红木",2016,None,0
伊露米琳,None,Illuminum ,"前调：柠檬,香柠檬,橙花油,小茴香中调：老鹳草,日本柚子,茉莉,橘子花后调：肉豆蔻,松树,香根草,椰子",2014,None,0
伊露米琳,None,Illuminum White Oud,"前调：芫荽,孜然中调：香根草后调：麝香,橡木苔,老挝乌木",None,None,0
伊露米琳,None,Illuminum White Oud,"前调：芫荽,孜然中调：香根草后调：麝香,橡木苔,老挝乌木",None,None,0
伊露米琳,None,Illuminum Brunswick House,"前调：劳丹脂中调：橡木,劳丹脂后调：雪松",2016,None,0
伊露米琳,None,Illuminum Indian OUD,"前调：香柠檬,老鹳草,孜然中调：沉香(乌木),橡木苔后调：香草,檀香木,麝香",None,None,0
伊露米琳,None,Illuminum Black Rose,"前调：孜然,胡椒,玫瑰中调：玫瑰,塔伊夫玫瑰,藏红花后调：檀香木,乳香",None,None,0
伊露米琳,None,Illuminum Black Musk,"前调：零陵香豆,妥鲁香脂,广藿香中调：檀香木,没药后调：香草,麝猫香,麝香",None,None,0
伊露米琳,None,Illuminum Black Amber,"前调：无花果,孜然中调：依兰,雪松后调：古云香脂,檀香木,广藿香,柬埔寨乌木",2016,None,0
伊露米琳,None,Illuminum Trumpet Flower,"前调：茉莉,孜然,橙花中调：曼陀罗,蜂蜜后调：安息香脂,愈创木,麝香",None,None,0
伊露米琳,None,Illuminum Vetiver OUD,"前调：香柠檬,老鹳草中调：晚香玉,香根草,香根草,没药后调：广藿香,沉香(乌木)",None,None,0
伊露米琳,None,Illuminum Tonka Oud,"前调：老鹳草,玫瑰中调：缬草,香根草,广藿香后调：零陵香豆,柬埔寨乌木",2016,None,0
伊露米琳,None,Illuminum Phool,"前调：苦橙叶,龙蒿,橙子中调：茉莉,茉莉后调：檀香木,麝香",None,None,0
伊露米琳,None,Illuminum Vetiver OUD,"前调：香柠檬,老鹳草中调：晚香玉,香根草,香根草,没药后调：广藿香,沉香(乌木)",None,None,0
伊露米琳,None,Illuminum Tom Wolfe #,"前调：小茴香,香柠檬中调：老鹳草,橙花油后调：松树,琥珀",2016,None,0
软性香水,None,Striptease Flowers Sabe Masson Divins Alcools Striptease Flowers,"前调：橘子,香柠檬中调：橙花,橙花油,天芥菜后调：广藿香,琥珀,焦糖,香草",2015,None,0
软性香水,None,Sabe Masson Ne Des Roses,"前调：梨,小苍兰中调：玫瑰,牡丹,辛香料,铃兰后调：桃花心木,麝香",2015,None,0
软性香水,None,Zazou Sabe Masson Divins Alcools Zazou,"前调：香橼,柠檬,葡萄柚中调：橙花油,柏树,生姜,橙花后调：雪松,琥珀,麝香",2015,None,0
软性香水,None,Sabe Masson Le Soft Perfume Liquide Georges et Moi,"前调：香柠檬,苦橙叶中调：玫瑰,依兰,生姜,木兰后调：香根草,雪松",2017,None,0
软性香水,None,Sabe Masson Zazou,"气味：绿叶,柠檬,柏树,葡萄柚,橙花油",2015,None,0
软性香水,None,Artist Sabe Masson Divins Alcools Artist,"前调：葡萄柚中调：雪松,辛香料,广藿香后调：橡木苔,麝香",2015,None,0
软性香水,None,Sabe Masson Copacabana,"气味：粉红胡椒,苦橙叶,香柠檬,茉莉,紫罗兰,橙花",2015,None,0
软性香水,None,Sabe Masson Lucky Bay Edition ,"前调：橘子,柠檬,橙花油,薄荷,小豆蔻,肉桂中调：玫瑰,苦橙叶,橙花,公丁香后调：广藿香,檀香木,琥珀",2015,None,0
软性香水,None,Sabe Masson Parisian Rhapsody,"前调：橙子,红浆果中调：玫瑰,茉莉,肉豆蔻后调：香豆素,香草,麝香",2015,None,0
软性香水,None,Sabe Masson Etre Ici Et Ailleurs,"前调：粉红胡椒中调：鸢尾花,天芥菜,晚香玉,水仙花后调：檀香木,香草",2015,None,0
软性香水,None,Sabe Masson Copacabana,"气味：粉红胡椒,苦橙叶,香柠檬,茉莉,紫罗兰,橙花",2015,None,0
软性香水,None,Sabe Masson Swing Beauty,"前调：香柠檬,橘子中调：鸢尾花,茉莉,肉豆蔻,雪松后调：肉豆蔻,檀香木,零陵香豆,香草,麝香",2015,None,0
软性香水,None,Sabe Masson Macadam Paz,"前调：橙花油,香柠檬中调：晚香玉,快乐鼠尾草,肉豆蔻后调：雪松,劳丹脂,香草,琥珀,麝香",2015,None,0
软性香水,None,Georges et Moi Sabe Masson Divins Alcools Georges et Moi,"前调：香柠檬,苦橙叶中调：玫瑰,依兰,生姜,木兰后调：香根草,雪松",2015,None,0
软性香水,None,Sabe Masson Rock,"前调：香柠檬,柠檬,橙子中调：雪松,麝香后调：皮革,辛香料",2015,None,0
软性香水,None,Sabe Masson Georges et Moi,"前调：香柠檬,苦橙叶中调：玫瑰,依兰,生姜,木兰后调：雪松,香根草",2015,None,0
软性香水,None,Sabe Masson Le Soft Perfume Liquide Eu Vent de Vous,"前调：香柠檬,小豆蔻中调：鸢尾花,妥鲁香脂,红没药,安息香脂后调：广藿香,香草,劳丹脂,琥珀",2017,None,0
软性香水,None,Sabe Masson Belle Furieuse,"前调：柠檬,薄荷,罗勒中调：黑檀红木,苦橙叶,马黛茶后调：柏树,松树,焚香,皮革",2015,None,0
软性香水,None,Sabe Masson Lucky Bay,"前调：蜜橘,柠檬中调：花香,海水后调：琥珀,麝香,檀香木,雪松,广藿香",2015,None,0
软性香水,None,Sabe Masson Striptease Flowers,"前调：香柠檬,橘子中调：橙花,橙花油后调：广藿香,琥珀,焦糖,香草",2015,None,0
软性香水,None,Sabe Masson Nemamiah,"前调：柠檬,橘子,橙子中调：百香果,苹果,芒果后调：琥珀,麝香",2015,None,0
软性香水,None,Sabe Masson La Reine Soleil,"前调：柠檬,香柠檬中调：依兰,蜂蜜,天芥菜后调：香草,广藿香,麝香",2015,None,0
软性香水,None,Sabe Masson Umabel,"前调：桃子,香柠檬中调：小苍兰,玫瑰,鸢尾花后调：广藿香,麝香,檀香木,琥珀",2015,None,0
软性香水,None,Sabe Masson Le Soft Perfume Liquide Ne des Roses,"前调：梨,小苍兰中调：玫瑰,牡丹,辛香料,铃兰后调：桃花心木,麝香",2017,None,0
软性香水,None,Sabe Masson Le Soft Perfume Liquide Parisian Rhapsody,"前调：橙子,红浆果中调：玫瑰,茉莉,肉豆蔻后调：零陵香豆,香草,麝香",2017,None,0
软性香水,None,Sabe Masson De Guerre Lasse,"前调：橘子,香柠檬,桃子中调：紫罗兰叶,李子后调：雪松,广藿香,香根草,橡木苔",2015,None,0
软性香水,None,Sabe Masson Artist,"前调：葡萄柚中调：辛香料,雪松,广藿香后调：橡木苔,麝香",2015,None,0
软性香水,None,Sabe Masson Eu Vent de Vous,"前调：香柠檬,小豆蔻中调：鸢尾花,妥鲁香脂,红没药,安息香脂后调：广藿香,香草,劳丹脂,琥珀",2015,None,0
软性香水,None,Sabe Masson Emballe Moi,"前调：香柠檬,橘子,粉红胡椒中调：树莓,玫瑰,铃兰后调：杏仁,琥珀,广藿香",2015,None,0
软性香水,None,Lucky Bay Sabe Masson Divins Alcools Lucky Bay,"前调：橘子,柠檬,橙花油,薄荷,小豆蔻,肉桂中调：玫瑰,苦橙叶,橙花,公丁香后调：广藿香,檀香木,琥珀",2015,None,0
软性香水,None,Sabe Masson De Guerre Lasse,"前调：橘子,香柠檬,桃子中调：紫罗兰叶,李子后调：雪松,广藿香,香根草,橡木苔",2015,None,0
东方宝石,None,Tesori d'Oriente White Musk,"前调：醛,茉莉,白色花系中调：玫瑰,脂粉味后调：麝香,木质香,琥珀",None, 8.2 , 30 
东方宝石,龙之花,Tesori d'Oriente Fiore del Dragone,"前调：杏仁,火龙果,杏中调：茉莉,橙花,晚香玉,依兰后调：香草,麝香,琥珀,檀香木",None, 7.6 , 24 
东方宝石,None,Tesori d'Oriente Japanese Rituals,"前调：柑橘,葡萄柚,香柠檬,牡丹,山茶花中调：小苍兰,茉莉,铃兰,玫瑰,桂花后调：广藿香,雪松,麝香",2015,None,0
东方宝石,None,Tesori d'Oriente Fior di Loto,"前调：橙子,桃子,玫瑰中调：茉莉,莲花,晚香玉,铃兰后调：香草,木质香,檀香木,麝香",None, 6.9 , 19 
东方宝石,None,Tesori d'Oriente Mirra,"前调：香柠檬,橙子,牡丹中调：没药,红没药,安息香脂,琥珀后调：檀香木,雪松,香草,麝香",None,None,0
东方宝石,None,Tesori d'Oriente Africa,"前调：艾蒿,薰衣草,香柠檬中调：茉莉,鸢尾花后调：雪松,香豆素,香草,麝香,猴面包树",None,None,0
东方宝石,None,Tesori d'Oriente Hammam,"前调：橘子,柠檬,杏花中调：橙花,茉莉后调：香草,木质香,琥珀,麝香",None, 7.1 , 17 
东方宝石,None,Tesori d'Oriente Aegyptus,"前调：香柠檬,依兰,果香,绿叶中调：鸢尾花,茉莉,玫瑰,纸莎草,辛香料,莲花后调：麝香,东方香料,木质香,脂粉味",None,None,0
东方宝石,None,Tesori d'Oriente Byzantium,"前调：肉桂,杏仁,含羞草中调：玫瑰,天芥菜,蜂蜜,劳丹脂后调：香草,麝香,沉香(乌木),秘鲁香脂,可可果",2016,None,0
东方宝石,None,Tesori d'Oriente Vaniglia e Zenzero del Madagascar,"前调：香柠檬,生姜中调：黑檀红木,兰花,依兰后调：香草,檀香木,雪松,琥珀,麝香,开司米木",None,None,0
东方宝石,None,Tesori d'Oriente Royal Oud Dello Yemen,"前调：胡椒,小苍兰,焚香,橘子中调：康乃馨,安息香脂,桃子,铃兰后调：琥珀,沉香(乌木),蜂蜜,脂粉味,东方香料,木质香,辛香料",2013,None,0
东方宝石,None,Tesori d'Oriente Sandalo del Kashmir & Vetiver,"前调：生姜,香柠檬中调：茶叶,玫瑰,安息香脂后调：开司米木,檀香木,香根草",None,None,0
东方宝石,None,Tesori d'Oriente Te Verde,"前调：醛,茉莉,白色花系中调：玫瑰,茶叶后调：麝香,木质香",None,None,0
东方宝石,None,Tesori d'Oriente Orchidea della Cina,"前调：橘子,橙子,醋栗叶中调：兰花,茉莉,提亚蕾花,橙花后调：檀香木,香草,麝香,果仁糖,没药",None, 7.6 , 12 
东方宝石,None,Tesori d'Oriente Jasmin di Giava,"前调：橙子,柠檬,香柠檬,橘子中调：桃子,茉莉,铃兰,百香果,红浆果后调：广藿香,香草,黑巧克力,焦糖,琥珀",None, 6.9 , 11 
东方宝石,None,Tesori d'Oriente Frangipani delle Indie,气味：鸡蛋花,None,None,0
东方宝石,None,Tesori d'Oriente Tiare delle Indie,气味：提亚蕾花,2013,None,0
东方宝石,None,Tesori d'Oriente Marrakech Ibisco E Pepe Rosa,"气味：粉红胡椒,木槿",2010,None,0
东方宝石,None,Tesori d'Oriente Marrakech Patchouli E Ginger,"气味：广藿香,生姜",2010,None,0
东方宝石,None,Tesori d'Oriente Ambra Indiana,"前调：香柠檬,薄荷,绿叶中调：薰衣草,铃兰,橙花,小豆蔻,肉桂后调：琥珀,香草,麝香,零陵香豆,檀香木",None,None,0
东方宝石,None,Tesori d'Oriente Legno di Guajaco,"前调：香柠檬,橘子,橙子,橙花油中调：薰衣草,小豆蔻,胡椒,鼠尾草,龙蒿,愈创木后调：鸢尾花,雪松,檀香木,麝香,烟草,香豆素,零陵香豆",None,None,0
东方宝石,None,Tesori d'Oriente Marrakech Neroli E Cardamomo,"气味：橙花油,小豆蔻",2010,None,0
东方宝石,None,Tesori d'Oriente Papavero del Tibet,气味：罂粟花,None,None,0
东方宝石,None,Tesori d'Oriente Marrakech Ambra e Zafferano,"气味：琥珀,藏红花",2011,None,0
东方宝石,None,Tesori d'Oriente Ayurveda,"前调：橙子,柠檬,香柠檬中调：胡椒,辛香料,鸢尾花,依兰,紫罗兰后调：广藿香,雪松,琥珀,香根草,秘鲁香脂",2017,None,0
东方宝石,None,Tesori d'Oriente Viola del Nepal,气味：紫罗兰,2013,None,0
东方宝石,None,Tesori d'Oriente Baobab,气味：木质香,None,None,0
东方宝石,None,Tesori d'Oriente Zenzero,气味：生姜,None,None,0
耀石,国王（君主）,Yosh Konig,"前调：鼠尾草,柏树中调：红苹果,纸莎草,雪花莲,木质香后调：香根草,麝香,皮革,琥珀,木质香",2013, 8.8 , 25 
耀石,夏夜流星,Yosh Stargazer .,"气味：铃兰,百合,生姜",None, 9.2 , 22 
耀石,茶玫轻舞（黄玫瑰）,Yosh Sottile .,"气味：玫瑰,铃兰",None, 8 , 11 
耀石,0.96香气,. Yosh Omniscent .,"前调：栀子花,晚香玉,无花果叶,紫丁香,紫罗兰,大麻,鸦片,罗勒中调：老鹳草,猕猴桃,菠萝,葡萄柚,公丁香,晚香玉后调：檀香木,香草",None,None,0
耀石,盛夏果实,Yosh Ueahh! .,"气味：睡莲,黄瓜,梨,石榴,芦荟",None, 6.5 , 10 
耀石,白花之境,Yosh White Flowers .,"气味：玫瑰,栀子花,紫罗兰,小苍兰,晚香玉,紫丁香,香豌豆,苦橙叶,铃兰,冷杉,玫瑰,茉莉,水仙花",None,None,0
耀石,黑暗能量,Yosh Sombre Negra,"气味：广藿香,柚木,柏树,橡木苔,红没药,安息香,粉红胡椒,烟草,艾蒿,香根草,雪松,乳香,胡椒,公丁香,杜松,柑橘,肉豆蔻,孜然,鸢尾根,零陵香豆",2010,None,0
耀石,椰岛姜香,Yosh Ginger Ciao .,"气味：生姜,檀香木,昙花,罗勒,百合,依兰,椰子,橙花油",None,None,0
耀石,人心最有欺骗性,Yosh The Heart Is Deceitful Above All Things,"气味：朗姆酒,无花果,土壤,香草,厚壳桂",None,None,0
耀石,澄碧,Yosh Sea Ranch,"气味：盐,橙花,麝香,绿叶,海水,零陵香豆",2013,None,0
耀石,蒙特雷纳,Yosh Montelena,"气味：木质香,红酒,橡木苔,热带水果",2013,None,0
耀石,天命,Yosh Kismet,"气味：月桂叶,桂花,波罗尼花,焚香,依兰,雪松,莳萝,洋甘菊,水仙花",2007,None,0
耀石,安赫利诺,Yosh Angelino,"气味：梨,石榴,睡莲,芦荟,黄瓜,杨桃",2013,None,0
耀石,祖玛,Yosh Zuma,"气味：椰子,茉莉,檀香木,花香,木质香",2013,None,0
耀石,冬季玫瑰,Yosh Winter Rose,"气味：玫瑰,小豆蔻",2006,None,0
安娜苏,许愿精灵,Anna Sui Secret Wish,"前调：香瓜,桃子,柠檬中调：菠萝,黑加仑后调：琥珀,麝香,橡木苔,雪松",2005, 8.4 , 1756 
安娜苏,筑梦天马（独角兽）,Anna Sui Fantasia,"前调：柚子,粉红胡椒中调：花香,果仁糖,树莓后调：柏树,雪松",2017, 8.1 , 248 
安娜苏,紫镜魔钥,Anna Sui Forbidden Affair,"前调：柠檬,黑加仑,红醋栗中调：玫瑰,树莓,石榴后调：麝香,雪松,紫罗兰",2010, 7.4 , 195 
安娜苏,逐梦翎雀（黄孔雀）,Anna Sui Flight Of Fancy,"前调：荔枝,日本柚子,柠檬中调：木兰,小苍兰,玫瑰后调：琥珀,麝香,木质香",2007, 8 , 265 
安娜苏,摇滚天后（摇滚心情）,Anna Sui Rock Me!,"前调：橙子,桃子,梨中调：茉莉,莲花,忍冬后调：雪松,琥珀,香草",2009, 7.4 , 123 
安娜苏,漫舞精灵,Anna Sui Fairy Dance Secret Wish,"前调：橘子,粉红胡椒,芒果中调：竹子,玫瑰,牡丹后调：香根草,檀香木,香草",2012, 7.5 , 142 
安娜苏,波西米亚,Anna Sui La Vie de Boheme,"前调：火龙果,玫瑰,梨,红浆果中调：牡丹,小苍兰,木兰后调：麝香,檀香木,木质香,香草,树莓",2012, 7.8 , 177 
安娜苏,紫色魔镜,Anna Sui,"前调：橙子,杏,绿叶,树莓,香柠檬中调：花香,鸢尾花,茉莉,鸢尾根,铃兰,玫瑰后调：零陵香豆,檀香木,琥珀,雪松",1999, 7.8 , 156 
安娜苏,甜蜜梦境,Anna Sui Sui Dreams,"前调：油桃,橘子,香柠檬,苦橙中调：小苍兰,桃子,牡丹,玫瑰后调：肉豆蔻,檀香木,麝香,香草,雪松,茴芹",2000, 7.9 , 126 
安娜苏,摇滚甜心,Anna Sui Rock Me! Summer of Love,"前调：香柠檬,牛膝草,老鹳草中调：睡莲,小苍兰,桃子后调：檀香木,琥珀,玫瑰",2010, 7.4 , 108 
安娜苏,魔恋精灵（许愿精灵圆梦）,Anna Sui Secret Wish Magic Romance,"前调：香瓜,香柠檬,柠檬中调：晚香玉,橙花,昙花,莲花后调：琥珀,椰子,巴西红木,麝香",2006, 7.5 , 97 
安娜苏,绿野仙踪（花漾森情）,Anna Sui Romantica Exotica,"前调：柠檬,葡萄柚,黑加仑中调：茉莉,橙花油,莲花后调：栀子花,檀香木,三角叶杨",2016, 8.4 , 47 
安娜苏,幸运精灵,Anna Sui Lucky Wish,"前调：柠檬,蜜橘,柚子中调：小苍兰,竹子,橙花,兰花后调：檀香木,麝香,琥珀",2016, 8.2 , 58 
安娜苏,迷夜翎雀,Anna Sui Night of Fancy,"前调：蓝莓,苦橙叶,野生草莓中调：千金子藤,茉莉后调：乳香,克什米尔木,牛奶",2008, 7 , 77 
安娜苏,蝶之恋（蝴蝶）,Anna Sui Sui Love,"前调：桂花,百香果,橙子,香柠檬中调：橙花,紫罗兰,晚香玉,粉红胡椒,玫瑰,睡莲,茉莉后调：肉豆蔻,麝香,香草,黄葵",2002, 7.3 , 57 
安娜苏,我爱洋娃娃（粉娃娃）,Anna Sui Dolly Girl,"前调：肉桂,香瓜,苹果,香柠檬中调：木兰,紫罗兰,茉莉,铃兰,玫瑰后调：柚木,草莓,琥珀,麝香,香根草,树莓",2003, 7.6 , 117 
安娜苏,我爱洋娃娃（白娃娃）,Anna Sui Dolly Girl Ooh La Love,"前调：紫罗兰,柠檬,牡丹,铃兰,红醋栗,香柠檬中调：甜椒,八角后调：琥珀,广藿香,橡木苔,雪松,麝香",2004, 8.2 , 53 
安娜苏,花蕊之恋（花漾年华）,Anna Sui Romantica,"前调：橘子,香柠檬,石榴,葡萄柚中调：玫瑰,牡丹,桂花,百合,茉莉,橙花,绣球花后调：檀香木,雪松,麝香,琥珀",2015, 8 , 48 
安娜苏,波西米亚女神,Anna Sui La Nuit de Bohème,"前调：柑橘,黑莓中调：莲花,玫瑰,沉香(乌木)后调：雪松,兰花,广藿香,琥珀",2014, 7.4 , 71 
安娜苏,巴黎恋爱洋娃娃（紫娃娃）,Anna Sui Dolly Girl Bonjour L'Amour,"前调：肉桂,香瓜,葡萄柚中调：木兰,晚香玉,橙花,茉莉,铃兰后调：黑檀红木,琥珀,椰子,麝香,树莓,鸢尾根,桃子,雪松",2007, 8.9 , 45 
安娜苏,梦境成真,Anna Sui Live Your Dream,"前调：花香,胡椒,铃兰,睡莲中调：茉莉,玫瑰后调：檀香木,零陵香豆,麝香,雪松,柚木",2009, 7.4 , 58 
安娜苏,度假洋娃娃（蓝娃娃）,Anna Sui Dolly Girl On The Beach,"前调：橘子,醋栗叶,桃子,苹果,英国金盏花,香柠檬,柠檬中调：小苍兰,莲花,玫瑰后调：琥珀,麝香,木质香",2006, 7.5 , 41 
安娜苏,好莱坞巨星洋娃娃,Anna Sui Dolly Girl Lil' Starlet,"前调：柠檬,橙子,梨中调：牡丹,百合后调：李子,麝香",2008, 7 , 41 
安娜苏,波希米亚女神,Anna Sui La Nuit de Bohème Eau de Parfum,"前调：香柠檬,橘子,黑莓,苹果中调：木兰,玫瑰,茉莉,李子,橙花后调：广藿香,檀香木,琥珀,麝香",2014, 7.6 , 17 
安娜苏,黄色甜蜜梦境,Anna Sui Sui Dreams in Yellow,"前调：胡椒,橘子中调：莲花,茉莉后调：檀香木,琥珀,麝香",2016,None,0
安娜苏,绿色梦境,Anna Sui Sui Dreams in Green,"前调：香橼,桃子,黑加仑,日本柚子中调：铃兰,鸡蛋花,茉莉,茶叶后调：香根草,麝香,木质香",2015,None,0
安娜苏,美人鱼,Anna Sui Fantasia Mermaid,"前调：血橙,橘子,小豆蔻中调：茉莉,牡丹,荔枝后调：木质香,香草,蜂蜜",2019,None,0
安娜苏,舞梦翎雀,Anna Sui Flight of Fancy Spirit,"前调：香柠檬,柑橘,芒果中调：鸡蛋花,莲花,栀子花后调：麝香,浮木,海水",2018,None,0
